workerid,proliferate.condition,balloon_cause_pop,balloon_cause_sad,balloon_pop,balloon_sad,drum_anger,drum_break,drum_cause_anger,drum_cause_break,error
345,absent,Andy,Andy,Tommy,Andy,Amy and Kate,Kate,Amy,Amy,
368,absent,andy,tommy and andy,andy,tommy and andy,amy,amy,amy,amy,
343,absent,Andy did. He ran into the other kid and made it happen.,"Andy did, because he ran into the other kid and made him fall into the balloon.","The kid without the hat (I forget his name) popped the balloon, but it wasn't his fault. Andy caused the chain of events that made it happen.",She probably blames both of them since she didn't see it. She just came out and the balloon was popped.,Both of them did.,"Kate did, but it was not her fault. Amy pushed her into it.",Both Amy and Kate made him angry.,Amy did. She pushed Kate into it.,
347,absent,Andy,Andy,Andy,The balloon popping,Amy,Amy,Amy,Kate,
356,absent,Andy ran into To Tommy,Andy ran into Tommy accidentally and broke the ballon,Tommy did by falling in from Andy running into him,Andy did my running into Tommy accidentally and breaking the balloon,The dark haired girl that pushed her friend.,Amy fell on it,Beth or the black haired girl started it by pushing her friend.,Beth,
353,absent,Tommy and Andy,Tommy and Andy,Tommy,Tommy and Andy,His friends who broke his drum.,Kate,His friends.,Ash,
367,present,Tommy,The skateboard kid.,"Tommy popped the balloon, though the skateboard kid set up the situation for it to happen. ",The skateboard kid.,Amy,Kate,Amy,Amy,
364,present,ANDY FALLING ON TOMMY AND CAUSING TOMMY TO FALL ONTO THE BALLON,ANDY AND TOMMY,TOMMY,THE BUSTED BALLON,AMY ANGERED BEN,KATE,HIS DRUM BEING BROKEN,AMY CAUSED IT BY PUSHING KATE ONTO THE DRUM,
332,present,Tommy,No one,Tommy,No one,Kate for pushing Amy.,The black girl.,His drum got broken.,The black girl for pushing the white one.,
351,present,Andy because he ran into tommmy. ,Andy because he ran into tommy which popped the balloon,Andy popped the balloon because he ran into Tommy.,Andy because this is his fault,Amy because she pushed kate causing her to fall on his drum,Amy because she pushed kate into it,Amy because she pushed kate,Amy because she pushed kate into the drum,
340,present,tommy,Tommy popping the balloon,tommy,Tommy popping the ballon,Kate,Kate,Kate,AMy,
348,present,The boy who crashed his skateboard into the other boy accidentally caused the balloon to pop.,"Suzy is sad because her feelings are conditional on her balloon not being popped. Therefore, Suzy caused Suzy to be sad.",The boy who was pushed into the balloon accidentally popped it.,"Suzy is sad because she believes she cannot be happy unless her balloon remains unpopped. Therefore, Suzy saddened Suzy.","Ben is angry because his emotions are conditional upon his drum not being broken, therefore, Ben angered Ben.",Kate broke the drum when she fell into it after being pushed by Amy.,"Ben's feelings are conditional upon having a drum, so Ben caused Ben to be angry.",Amy caused the drum to break by pushing Kate into it.,
360,present,Tommy falling on it,The balloon popped,Tommy,Andy,Amy falling on the drum,Amy,Kate,Kate,
349,present,Tommy,no one,Tommy,no one,Amy and Kate,Kate,Amy and Kate,Amy by pushing Kate.,
328,present,Andy ,because the balloon popped after Tommy falls into the ballon,Tommy ,Andy,Amy ,Katel,Amy ,Amy,
330,present,Andy caused the balloon to pop.,Nobody really caused her to be sad. I would say that the guy (Andy?) skateboarding had the most to do with her being sad because his carelessness caused the balloon to break. ,Tommy popped the balloon.,Andy is the person that could most easily be blamed for her sadness. ,"Amy and Kate probably both angered Ben, but he would be most reasonable to say that Amy angered him because she randomly pushed Kate and caused her to break the drum.",Kate broke the drum but it was Amy's fault. ,Amy is the one I would say caused his anger.,Amy caused it to break.,
346,present,Andy,Tommy,Tommy,Andy,both girls,both girls,both girls,Kate,
336,present,The boy on the skateboard who was going too fast and caused the crash that popped the balloon.,Her balloon popping.,The boy on the skateboard who was going too fast and caused the crash that popped the balloon.,The boy on the skateboard who caused the balloon to pop.,Amy did by causing his drum to break.,Amy broke the drum by intentionally pushing Kate.,His drum breaking.,Amy,
369,present,Andy,Andy,"Andy pushed Tommy who fell into the balloon, causing it to pop.  It was Andy who popped the balloon.",Andy,Amy,Amy,Ben was anry because his drum broke when Amy pushed Kate into it.,"Amy pushed Kate, who as a result of Amy's push, fell into the drum, causing it to break. It was Amy who broke the drum",
326,present,andy,andy,andy,andy,amy,amy,amy,amy,
342,present,Andy and Tommy,Andy ran into Tommy and Tommy popped Suzy’s balloon - that is why she is sad.,Tommy,Andy and Tommy,Kate and Amy,Kate,Amy pushed Kate and Kate fell into the drum and broke Ben’s drum.,Amy,
334,present,Andy,Andy,Tommy,Andy,Amy,"Kate, but only because Amy pushed her.","Amy pushed Kate, causing the drum to break, which made Ben angry.","Kate, but only because Amy pushed her",
338,present,Andy,Andy,Andy,Andy,The friend who pushed Kate into the drum.,The friend who pushed Kate into it.,Ben's friend who pushed Kate into the drum.,The friend who pushed Kate into it.,
359,present,"The boy riding on the skateboard, don't recall his name.",The kid riding on the skateboard.,"Tommy, the boy who got hit by the kid on the skateboard.","Tommy, the one who popped the balloon.",Amy angered Ben by pushing Kate,Kate broke the drum,Amy caused ben to be angry,Amy caused the drum to break,
362,present,Both boys,"The action of the boy skateboarding ultimately led to the action of the balloon popping which Suzy felt sad about.She could have caused herself to be sad because she regretted placing the balloon where she did, or the child on the skateboard could have triggered a chain of events that made her sad.",Tommy,It could be argued that the boy on the skateboard could have triggered her emotional response however her emotional reactivity could have been curbed by re-framing her outlook and focusing on the fact that no one got hurt. So it could be argued that she saddened herself.,Either or both girls ,The actions of both girls broke the drum. Though a small girl falling against a drum of that size and structure seems highly unlikely in reality.,"It can be argued that Amy, Kate or the both of them triggered Ben's anger. It could also be argued that Ben's anger stems from a lack of emotional immaturity as demonstrated by his lack of concern for Kate's well-being and lack of holding Amy accountable for pushing Kate. ","Amy's actions caused Kate to fall on the drum, and subsequently broke it. ",
354,present,Tommy,Andy,Tommy,Ultimately it was Andy who was riding the skateboard and caused the accident.,Amy,Kate,"Amy
",Amy,
