workerid,proliferate.condition,question_order,error
152,physical_physical_absent,anger,
152,physical_physical_absent,break_cause,
152,physical_physical_absent,break,
112,physical_physical_absent,break_cause,
112,physical_physical_absent,break,
112,physical_physical_absent,anger,
112,physical_physical_absent,anger_cause,
144,physical_physical_absent,anger,
144,physical_physical_absent,anger_cause,
144,physical_physical_absent,break_cause,
144,physical_physical_absent,break,
184,physical_physical_absent,break,
184,physical_physical_absent,break_cause,
184,physical_physical_absent,anger,
184,physical_physical_absent,anger_cause,
136,physical_physical_absent,anger,
136,physical_physical_absent,anger_cause,
136,physical_physical_absent,break,
136,physical_physical_absent,break_cause,
108,physical_physical_absent,anger,
108,physical_physical_absent,anger_cause,
108,physical_physical_absent,break_cause,
108,physical_physical_absent,break,
104,physical_physical_absent,anger_cause,
104,physical_physical_absent,anger,
104,physical_physical_absent,break_cause,
104,physical_physical_absent,break,
128,physical_physical_absent,break_cause,
128,physical_physical_absent,break,
128,physical_physical_absent,anger_cause,
128,physical_physical_absent,anger,
172,physical_physical_absent,anger,
172,physical_physical_absent,anger_cause,
172,physical_physical_absent,break_cause,
172,physical_physical_absent,break,
140,physical_physical_absent,break_cause,
140,physical_physical_absent,break,
140,physical_physical_absent,anger_cause,
140,physical_physical_absent,anger,
160,physical_physical_absent,break,
160,physical_physical_absent,break_cause,
160,physical_physical_absent,anger_cause,
160,physical_physical_absent,anger,
180,physical_physical_absent,break_cause,
180,physical_physical_absent,break,
180,physical_physical_absent,anger,
180,physical_physical_absent,anger_cause,
164,physical_physical_absent,anger,
164,physical_physical_absent,anger_cause,
164,physical_physical_absent,break_cause,
164,physical_physical_absent,break,
124,physical_physical_absent,anger,
124,physical_physical_absent,anger_cause,
124,physical_physical_absent,break_cause,
124,physical_physical_absent,break,
168,physical_physical_absent,anger,
168,physical_physical_absent,anger_cause,
168,physical_physical_absent,break_cause,
168,physical_physical_absent,break,
176,physical_physical_absent,break_cause,
176,physical_physical_absent,break,
176,physical_physical_absent,anger_cause,
176,physical_physical_absent,anger,
188,physical_physical_absent,anger_cause,
188,physical_physical_absent,anger,
188,physical_physical_absent,break_cause,
188,physical_physical_absent,break,
120,physical_physical_absent,break_cause,
120,physical_physical_absent,break,
120,physical_physical_absent,anger,
120,physical_physical_absent,anger_cause,
156,physical_physical_absent,break_cause,
156,physical_physical_absent,break,
156,physical_physical_absent,anger,
156,physical_physical_absent,anger_cause,
148,physical_physical_absent,break,
148,physical_physical_absent,break_cause,
148,physical_physical_absent,anger,
148,physical_physical_absent,anger_cause,
137,mental_mental_present,break,
137,mental_mental_present,break_cause,
137,mental_mental_present,anger_cause,
137,mental_mental_present,anger,
153,mental_mental_present,anger_cause,
153,mental_mental_present,anger,
153,mental_mental_present,break_cause,
153,mental_mental_present,break,
145,mental_mental_present,break,
145,mental_mental_present,break_cause,
145,mental_mental_present,anger_cause,
145,mental_mental_present,anger,
149,mental_mental_present,anger,
149,mental_mental_present,anger_cause,
149,mental_mental_present,break_cause,
149,mental_mental_present,break,
113,mental_mental_present,break_cause,
113,mental_mental_present,break,
113,mental_mental_present,anger_cause,
113,mental_mental_present,anger,
125,mental_mental_present,anger,
125,mental_mental_present,anger_cause,
125,mental_mental_present,break,
125,mental_mental_present,break_cause,
182,mental_mental_present,break,
182,mental_mental_present,break_cause,
182,mental_mental_present,anger_cause,
182,mental_mental_present,anger,
174,mental_mental_present,anger_cause,
174,mental_mental_present,anger,
174,mental_mental_present,break_cause,
174,mental_mental_present,break,
141,mental_mental_present,anger_cause,
141,mental_mental_present,anger,
141,mental_mental_present,break,
141,mental_mental_present,break_cause,
121,mental_mental_present,break,
121,mental_mental_present,break_cause,
121,mental_mental_present,anger,
121,mental_mental_present,anger_cause,
105,mental_mental_present,anger_cause,
105,mental_mental_present,anger,
105,mental_mental_present,break_cause,
105,mental_mental_present,break,
117,mental_mental_present,anger_cause,
117,mental_mental_present,anger,
117,mental_mental_present,break_cause,
117,mental_mental_present,break,
109,mental_mental_present,break_cause,
109,mental_mental_present,break,
109,mental_mental_present,anger,
109,mental_mental_present,anger_cause,
129,mental_mental_present,break,
129,mental_mental_present,break_cause,
129,mental_mental_present,anger,
129,mental_mental_present,anger_cause,
169,mental_mental_present,anger_cause,
169,mental_mental_present,anger,
169,mental_mental_present,break_cause,
169,mental_mental_present,break,
165,mental_mental_present,break_cause,
165,mental_mental_present,break,
165,mental_mental_present,anger,
165,mental_mental_present,anger_cause,
161,mental_mental_present,anger,
161,mental_mental_present,anger_cause,
161,mental_mental_present,break_cause,
161,mental_mental_present,break,
133,mental_mental_present,break,
133,mental_mental_present,break_cause,
133,mental_mental_present,anger_cause,
133,mental_mental_present,anger,
178,mental_mental_present,anger_cause,
178,mental_mental_present,anger,
178,mental_mental_present,break_cause,
178,mental_mental_present,break,
157,mental_mental_present,anger_cause,
157,mental_mental_present,anger,
157,mental_mental_present,break,
157,mental_mental_present,break_cause,
