workerid,proliferate.condition,bike_cause,bike_fault,bike_punishment,bike_simple,mirror_cause,mirror_fault,mirror_punishment,mirror_simple,error
96,intentional,Andy is 100% at fault,"It is Andy's fault, he initiated the event, the other person was an unknowing participant. I suspect that if Andy was near a barrel or a similar object he would hit that to break the fence as well.","Any is the active and knowing participant here, and deserves 100% of the punishment.","Andy broke the fence through a knowing act of destructive behavior, and one may add assaultive behavior due to the involvement of an unknowing participant in the action.",Sophia.,Sophia caused this event to happen and bears 100% culpability here.,Sophia initiated everything with INTENT and should be held accountable 100%,"Sophia set into motion events leading to a damaged mirror, without her actions the mirror would be intact.",
101,intentional,Suzy,Andy,Andy ,Suzy,Bobby,The girl and not Bobby.,The girl,Bobby,
59,intentional,"Andy caused the fence to break by running into Susie. He never ran into her, the fence never would've broken.",It's Andy's fault the fence broke,"Andie should be punished, he intended for the fence to be broken and risked the health and safety of Susie to cause it",Susie technically broke the fence,"Sophia caused the mirror to crack, if she were to not hide behind the chair and jump out, Bobby would not have fallen into the mirror.","It's Sophia's fault the mirror cracked, if she was not involved, Bobby would've never cracked the mirror or even been in the room","Sophia should obviously be punished here here as she orchestrated this entire event maliciously, and is responsible for Bobby falling into the mirror",Bob technically cracked the mirror,
81,intentional,Suzy did but only because Andy pushed her into it. ,Andy's fault,I think Andy should be punished for making Suzy run into the fence. ,Suzy,Bobby did but only because he was scared. ,It's the girls fault for scaring Bobby.,That is not funny at all. Bobby could have been hurt really bad with the broken mirror pieces.,Bobby,
73,intentional,Andy,Andy,Andy,Andy,bobby,Bobby,Bobby,Bobby,
67,intentional,Andy,Andy,Andy should be in trouble for running into Suzy. ,"Sophie's fall broke the fence, but it was Andy's bike that was the catalyst. ",Sophie,It's Sophie's fault. It was her plan and she executed it. ,"Sophie wanted to cause destruction, and she manipulated a situation so that it looked as if it was someone else's fault. That's not just naughty; that's bad. She deserves to be punished if someone can prove she did that on purpose. Bobby does not deserve punishment because it was an accident. ",Bobby,
69,intentional,Bobby,Bobby ,Bobby should be punished because without his plan Susie would not have fallen into the fence.,Susie,"Both, because Sophia set up Bobby and Bobby fell into the mirror.","Sophia, because she calculated and set Bobby up to crack the mirror.",Sophia should be punished because had she not scared Bobby the mirror would probably not be cracked.,Bobby,
71,intentional,Andy caused the situation for the fence to break but Susie physically was the one that broke the fence,Andy,Andy,Susie,Bobby,Bobby,No,Bobby,
93,intentional,Andy,Andy,Andy should be punished.,Andy,Sophia caused the problem.,Sophia's,"Yes, Sophia should be punished.",Sophia,
65,intentional,Suzy,Andy,Andy,Suzy,Bobby,Sophia,Sophia,Bobby,
