workerid,proliferate.condition,bike_cause,bike_fault,bike_punish,bike_simple,mirror_cause,mirror_fault,mirror_punish,mirror_simple,error
311,intentional,Andy caused Suzy to break the fence.,It is Andy's fault the fence broke because he premeditated running into her to cause this breakage. ,Andy should be punished since its his fault.,Suzy technically broke the fence. ,Sophia caused the mirror to crack by pushing Bobby.,Sophia's fault because she is the one who orchestrated this whole situation.,Sophia should be punished because it would not have happened without her pushing Bobby.,Bobby cracked the mirror.,
319,intentional,Andy caused the fence to break as he ran into Susie.,I would blame Andy because if he didn't run into Susie then the fence would be intact.,Andy should be punished as he is the one who ran into suzie and caused a break in the fence. ,Susie techincally broke the fence but it was Andy's fault. ,Sophia clearly caused a crack in the mirror by pushing Bobby. ,I would ultimately blame Sophia as she is the one who pushed Bobby into the mirror to break it. ,Sophia should be punished. She is a bully and caused Bobby to break the mirror and potentially hurt himself. ,Technically Bobby cracked the mirror but it was still Sophia's fault. ,
291,intentional,Andy caused the fence to break.,It is Andy's fault that the fence broke.,Andy should be punished.,Andy broke the fence.,Sophie caused the mirror to crack.,It's Sophia's fault.,Sophia should be punished.,Sophia cracked it.,
321,intentional,Andy. He pushed Suzy who otherwise would not have broken it making him responsible.,Andy's,"Yes, Andy should be punished. Not only did he destroy property, he could have seriously hurt Suzy by his actions","Suzy technically broke the fence with her body, but the blame lies with Andy","Technically Bobby, but the blame lies with Sophia for pushing him",Sophia's,"Yes, Sophia should be punished",Sophia,
307,intentional,Andy,It was Andy's fault.,Andy should be punished.,Suzie,Sophia,It was Sophia's fault.,Sophia should be punished.,Sophia,
303,intentional,Andy,Andy,Andy. The fence breaking was an intentional result of his actions,Andy ran into Suzy so that way she would break the fence,Sophia,Sophia,Sophia. The result of the cracked mirror was an intentional and desired result of her actions. ,Sophia pushed bobby so that he would crack the mirror,
293,intentional,"Andy caused the fence to break, by purposely running into Suzy with his bike. If Andy wouldn't have run into Suzy, she would not have fallen into the fence. ","It is Andy's fault that the fence broke. If Andy hadn't chose to run into Suzy on purpose, the fence wouldn't be broken. ","Yes, Andy should be punished. He should be punished for both breaking the fence and for running into Suzy. He should have to pay for the fence to be fixed and he should apologize to Suzy for hurting her. ",Suzy broke the fence because Andy purposely ran into her with his bike.,"Sophia caused the mirror to crack, because she made a stupid choice to push Bobby into it. ",It is Sophia's fault the mirror is cracked. ,"Yes, Sophia should be punished for pushing Bobby and for cracking the mirror. Sophia should have to pay to have the mirror fixed or replaced, and she should apologize to Bobby for pushing him. ","Bobby cracked the mirror, because Sophia purposely pushed him into it. ",
313,accidental,Suzy fell into the fence after being ran into by andy on his bike,Andy and Suzi really but more on Andy,"I feel it was a accident, but if someone should have to pay then it should be andy. He caused the accident even though it wasn't technical his fault. The bike chain broke causing this to happen.",Suzy,bobby,Sophia,"Sohia, she fell into bobbie causing him to fall and break the mirror",bobby,
282,accidental,Andy rode his bike and accidentally hit Suzy causing her to fall into and break the fence.,Bobby,Bobby,Suzy,"Sophia tripped and hit Bobby, who hit the mirror.",Sophia,Sophia,Bobby,
292,accidental,Andy,"Andy, the bike operator","I don't believe either should be punished, but Andy's caregiver should pay for repairs.",Suzy broke it because Andy knocked her out of the way with his bike.,Sophia pushed Bobby,Sophia,Sophia is responsible due to clumsiness,Sophia by tripping into Bobby,
300,accidental,"Suzy fell into the fence after getting hit with the bike
",no one's - it was an accident,"no, it was an accident","suzie, technically, but it wasn't her fault",bobby fell into it,no one's,no,bobby fell into it,
315,accidental,Andy,No one,"No, just an accident","Neither of them, it is no one's fault just an accident",Sophia,Sophia. But an honest mistake,No,Sophia,
302,accidental,The force of the two children crashing into the fence.,"Neither child, it was an accident.",No,"Neither child, it was an accident.","Neither child, it was an accident but technically the girl tripping and falling into the boy caused the mirror to crack.","Neither child, it was an accident.",no,"Neither child, it was an accident but technically the boy.",
294,accidental,Suzy did.,No one is at fault - it was an accident.,No one should be punished since it was an accident.,Suzy broke the fence.,Bobby did.,No one is at fault - it was an accident.,No one should be punished since it was an accident.,Bobby cracked the mirror.,
290,accidental,suzie and andy,no one it was an accident,no,suzie and andie,both of them,no ones it was an accident,no,both of them,
298,accidental,Suzy,no one,no,Suzy,Sophia,Sophia,no,Bobby.,
296,accidental,Andy,Andy,Andy,Suzy,The girl,The girl,The girl,Bobby,
322,accidental,Andy hitting Suzy with his bike and pushing Suzy into the fence.,"If the chain breaking was an accident and not a result of neglect then it's no ones fault, otherwise I think it would be Andy's fault.",If the chain on a bike breaking means you can't steer for some reason I guess no one deserves to be punished.,Andy broke the fence by hitting Suzy into it.,Sophia,No one really.,No one should be punished,Sophia,
365,accidental,suzy,suzy ,No,Suzy,Bobby,Bobby,Both,Bobby,
318,accidental,Andy,No one's fault,No,Suzie,Sophia,"No one, it was an accident.",No,Bobby,
304,accidental,Andy,Andy,"Nobody, because it was an accident.",The girl,Sofia,Sofia,"Nobody should be punished, because it was an accident.",Bobby,
286,accidental,Andy caused it to break,Andy's fault,"No, it was an accident with no one to blame",Suzy broke the fence,The girl caused the mirror to crack,It is the girl's fault the mirror cracked,"No, it was an accident with no one to blame","Bobby cracked the mirror, but to no fault of his own",
284,accidental,both of them,Neither one,Neither one,Both did,Both of them,Neither one,"It seemed accidental. Nobody should be punished but if someone is required to pay for it, I believe they should be equally accountable.",Sophia bumped into Bobby knocking him into the mirror.,
312,accidental,Andy caused the fence to break.,Andy is primarily at fault.,"It was an accident, so nobody should be punished.",Suzy broke the fence.,"Sophie tripped into Bobby, causing him to fall into the mirror.",Sophie,"It was an accident, so neither should be punished.",Bobby,
306,accidental,Andy,andy,no it was an accident,Andy,susie,no one it was an accident,no it was an accident,bobby,
320,accidental,"Suzy, as a result of being hit from Andy",Andy's for faulty equipment.,"No, this was an accident.",Suzy,"Suzy, since she pushed Bobby into the mirror.","Suzy's for tripping, but again this was an accident.","No, this was an accident.","Bobby, as a result from being pushed by Suzy",
310,accidental,"Andy did, by running into Suzy.",Technically it was Andy's fault since he ran into Suzy.,Nobody should be punished for this as it was just an unfortunate accident.,Suzy broke the fence when Andy ran into her with his bike.,Bobby caused the mirror to crack when Sophia tripped and ran into him.,"Technically Sophia's fault since she knocked into Bobby, causing him to trip & run into the mirror.",Nobody should be punished as this was just an accident.,Bobby cracked the mirror.,
