workerid,proliferate.condition,hurt_cause,hurt_lexical,shock_cause,shock_lexical,error
525,physical,"If i had to select one person, I would choose Tommy because his action of leaving the safety cap off the scissors led to a chain of events that resulted in Andy getting hurt.",I think Suzy hurt Andy by accidentally handing him the scissors with the unprotected sharp ends pointed toward him.,"As I stated previously, if I had to select one person as the cause of Ben being shocked, I would choose Amy. This is because if her action of removing the star off the wand did not occur, Ben would not have been shocked. However, I feel the case could be made that all 3 children played a part in causing Ben to be shocked.  Kate handed Ben the wand, although Ben asked for it. Ben also willingly took the wand into his hand. ","I think it depends on how someone perceives the situation. If I had to pick one person, I would have to say Amy, because her action of not replacing the star back onto the wand was the first action in the chain of events that eventually led to Ben being shocked. If Amy had not removed the star, Ben would have never been shocked. If I didn't have to select only one person to blame, I would say that each of the 3 children could be partially blamed. Kate shocked Ben by handing him the wand, although neither Kate nor Ben seemed to realize the risk of the exposed wires. Also, Kate handed the wand to Ben because he asked for it. Ben also took the wand into his hand on his own accord. ",
504,physical,Suzie,Suzie,Amy,The wand,
498,physical,John,John,Amy,Kate,
492,physical,Tommy did.,"Suzy did by handing him the scissors, but Tommy is to blame because he never put the safety cap back on the scissors.","The little girl who put the star on the top of the castle.  I think her name is Amy, but I'm not sure I remember that correctly.",Kate shocked Ben.,
496,physical,Tommy caused Andy to be hurt ,Tommy,Amy caused Ben to be shocked,Amy shocked ben by not putting the star back on the wand,
552,physical,"Everyone involved, including the teacher.","Everyone involved, including the teacher.",Amy,Amy,
468,physical,The little boy who first used the scissors and forgot to put the safety cap back on.,No one deliberately hurt Andy. It was an accident because the safety cap was not replaced.,"Amy forgot to put the star back on, so she is the biggest reason he was shocked.",No one actually shocked him. It was an accident due to the star not being replaced by Amy before putting it away.,
549,physical,Tommy,Tommy,Amy,The wand,
541,physical,The child that left the scissors uncapped.,"The child who handed him the scissors
",The child who took the star off the wand,"Kate, who handed him the wand",
544,physical,Tommy,Suzy,Kate,Kate,
473,physical,tommy,tommy,the original girl,the original girl,
478,physical,All three are responsible for Andy getting hurt.  The first kid should have put the cap back on the scissors and Suzy did not have the proper training to handle scissors in the safe manner of passing it to another individual.  Andy also didn't display proper training as to protect himself and ensure that the scissors were not given to him in a manner that would put him or anyone else at harm.,Suzy was the one who was handling the scissors in a manner that caused Andy to be harmed.,Amy and Kate caused Ben to get shocked.,Kate shocked Ben as she was the one holding the wand before shocking Ben with it.,
528,physical,The girl.,The girl by passing the scissors to him.,Kate,Kate,
503,physical,"All three children, and the teacher, played a part in Andy being hurt. The teacher should not have had such sharp scissors available to such young children. Tommy was careless and left the scissors without the safety cap. And both Andy and Susie were careless in the passing of the scissors, which led to Andy being hurt. None of them know the proper way to handle scissors, apparently, which is also the teacher's fault (and their parents').","Nobody hurt Andy, Andy got hurt by accident.",The manufacturer of the wand caused Ben to be shocked. They should not have made the wand so that removing the star leaves live wires sticking out the end. Obviously none of the children (and probably not the teacher) knew that this would happen if the star was removed and someone kept playing with the wand.,The wand shocked Ben. No one knew that this would be the result of playing with the wand without the star.,
